datetime,events,distance(KM)
20180525000000,0,-1
20180525000001,0,-1
20180525000002,0,-1
20180525000003,0,-1
20180525000004,0,-1
20180525000005,0,-1
20180525000006,0,-1
20180525000007,0,-1
20180525000008,0,-1
20180525000009,0,-1
20180525000010,0,-1
20180525000011,0,-1
20180525000012,0,-1
20180525000013,0,-1
20180525000014,0,-1
20180525000015,0,-1
20180525000017,0,-1
20180525000018,0,-1
20180525000019,0,-1
20180525000020,0,-1
20180525000021,0,-1
20180525000022,0,-1
20180525000023,0,-1
20180525000024,0,-1
20180525000025,0,-1
20180525000026,0,-1
20180525000027,0,-1
20180525000028,0,-1
20180525000029,0,-1
20180525000030,0,-1
20180525000031,0,-1
20180525000032,0,-1
20180525000033,0,-1
20180525000034,0,-1
20180525000035,0,-1
20180525000036,0,-1
20180525000038,0,-1
20180525000039,0,-1
20180525000040,0,-1
20180525000041,0,-1
20180525000042,0,-1
20180525000043,0,-1
20180525000044,0,-1
20180525000045,0,-1
20180525000046,0,-1
20180525000047,0,-1
20180525000048,0,-1
20180525000049,0,-1
20180525000050,0,-1
20180525000051,0,-1
20180525000052,0,-1
20180525000053,0,-1
20180525000054,0,-1
20180525000055,0,-1
20180525000056,0,-1
20180525000058,0,-1
20180525000059,0,-1
20180525000100,0,-1
20180525000101,0,-1
20180525000102,0,-1
20180525000103,0,-1
20180525000104,0,-1
20180525000105,0,-1
20180525000106,0,-1
20180525000107,0,-1
20180525000108,0,-1
20180525000109,0,-1
20180525000110,0,-1
20180525000111,0,-1
20180525000112,0,-1
20180525000113,0,-1
20180525000114,0,-1
20180525000115,0,-1
20180525000116,0,-1
20180525000117,0,-1
20180525000119,0,-1
20180525000120,0,-1
20180525000121,0,-1
20180525000122,0,-1
20180525000123,0,-1
20180525000124,0,-1
20180525000125,0,-1
20180525000126,0,-1
20180525000127,0,-1
20180525000128,0,-1
20180525000129,0,-1
20180525000130,0,-1
20180525000131,0,-1
20180525000132,0,-1
20180525000133,0,-1
20180525000134,0,-1
20180525000135,0,-1
20180525000136,0,-1
20180525000137,0,-1
20180525000138,0,-1
20180525000140,0,-1
20180525000141,0,-1
20180525000142,0,-1
20180525000143,0,-1
20180525000144,0,-1
